// Enemy_Cactus, Enemy_Burrow, Enemy_Fiery, Boss
// Delay, Name, Point(1~7)(MIDDLE IS 4)
2,Enemy_Cactus,4
2,Enemy_Cactus,1
2,Enemy_Cactus,2
0,Enemy_Cactus,6
0,Enemy_Cactus,4
3,Enemy_Burrow,3
1,Enemy_Cactus,7
2,Enemy_Fiery,4
0.5,Enemy_Cactus,3
0,Enemy_Cactus,5
2,Enemy_Burrow,3
0.2,Enemy_Burrow,2
0,Enemy_Burrow,1
2,Enemy_Burrow,6
0.2,Enemy_Fiery,5
0,Enemy_Fiery,7
4,Enemy_Cactus,3
0,Enemy_Cactus,5
0.2,Enemy_Cactus,2
0,Enemy_Cactus,4
0,Enemy_Cactus,6
4,Enemy_Cactus,4
0.3,Enemy_Cactus,3
0,Enemy_Cactus,5
0.3,Enemy_Cactus,2
0,Enemy_Cactus,6
0.3,Enemy_Cactus,1
0,Enemy_Cactus,7
4,Enemy_Fiery,4
0.3,Enemy_Burrow,3
0,Enemy_Burrow,5
0.3,Enemy_Burrow,2
0,Enemy_Burrow,6
5,Enemy_Cactus,1
0,Enemy_Cactus,2
0,Enemy_Cactus,3
0,Enemy_Cactus,4
0,Enemy_Cactus,5
0,Enemy_Cactus,6
0,Enemy_Cactus,7
5,Enemy_Fiery,2
1,Enemy_Fiery,6
2,Enemy_Burrow,5
0,Enemy_Burrow,3
3,Enemy_Burrow,1
0.2,Enemy_Burrow,2
0,Enemy_Burrow,3
2,Enemy_Fiery,4
0.2,Enemy_Fiery,3
0,Enemy_Fiery,5
1,Enemy_Fiery,6
0.2,Enemy_Fiery,5
0,Enemy_Fiery,7
2,Enemy_Cactus,3
0.1,Enemy_Burrow,2
0,Enemy_Burrow,4
0.1,Enemy_Fiery,1
0,Enemy_Fiery,5
3,Enemy_Fiery,4
1,Enemy_Burrow,2
0,Enemy_Burrow,6
2,Enemy_Cactus,1
0,Enemy_Cactus,7
4,Enemy_Burrow,1
0.1,Enemy_Burrow,2
0.1,Enemy_Burrow,3
0.1,Enemy_Burrow,4
0.1,Enemy_Burrow,5
0.1,Enemy_Burrow,6
0.1,Enemy_Burrow,7
0.1,Enemy_Fiery,6
0.1,Enemy_Fiery,5
0.1,Enemy_Fiery,4
0.1,Enemy_Fiery,3
0.1,Enemy_Fiery,2
0.1,Enemy_Fiery,1
5,Enemy_Cactus,4
2,Enemy_Cactus,3
0,Enemy_Burrow,5
4,Enemy_Cactus,4
0.3,Enemy_Cactus,3
0,Enemy_Cactus,5
0.3,Enemy_Cactus,2
0,Enemy_Cactus,6
0.3,Enemy_Cactus,1
0,Enemy_Cactus,7
0,Enemy_Cactus,2
0,Enemy_Cactus,3
0,Enemy_Cactus,4
0,Enemy_Cactus,5
0,Enemy_Cactus,6
4,Enemy_Fiery,4
0.2,Enemy_Burrow,3
0,Enemy_Burrow,5
3,Enemy_Fiery,2
4,Enemy_Fiery,6
3,Enemy_Cactus,2
0,Enemy_Cactus,6
0.5,Enemy_Cactus,1
0,Enemy_Cactus,3
0,Enemy_Cactus,5
0,Enemy_Cactus,7
5,Boss,4
