// Enemy_Normal, Enemy_MetalHelmet, Enemy_Rabbit, Boss
// Delay, Name, Point(1~7)(MIDDLE IS 4)
2,Enemy_Normal,1
0,Enemy_Normal,2
2,Enemy_Normal,6
0,Enemy_Normal,7
3,Enemy_MetalHelmet,4
0.5,Enemy_Rabbit,3
0,Enemy_Rabbit,5
4,Enemy_Normal,2
0,Enemy_Normal,6
4,Enemy_MetalHelmet,3
0,Enemy_MetalHelmet,5
2,Enemy_Rabbit,1
2,Enemy_Rabbit,7
2,Enemy_Rabbit,1
2,Enemy_Rabbit,7
2,Enemy_Rabbit,7
2,Enemy_Rabbit,1
3,Enemy_MetalHelmet,4
1.5,Enemy_MetalHelmet,4
1,Enemy_MetalHelmet,4
0,Enemy_Normal,1
0,Enemy_Normal,7
6,Enemy_Rabbit,3
0,Enemy_Rabbit,5
3,Enemy_Normal,4
1,Enemy_Normal,4
1,Enemy_Normal,4
1,Enemy_Normal,4
4,Enemy_MetalHelmet,2
0,Enemy_MetalHelmet,3
0,Enemy_MetalHelmet,5
0,Enemy_MetalHelmet,6
3,Enemy_Normal,4
0.5,Enemy_Rabbit,3
0,Enemy_Rabbit,5
0.5,Enemy_Normal,4
0,Enemy_Normal,6
3,Enemy_Rabbit,3
0.5,Enemy_Normal,2
0,Enemy_Normal,4
2,Enemy_MetalHelmet,2
0.5,Enemy_Normal,1
0,Enemy_Normal,3
3,Enemy_MetalHelmet,6
0.5,Enemy_Normal,5
0,Enemy_Normal,7
0,Enemy_Normal,6
0,Enemy_Normal,5
0,Enemy_Normal,4
0,Enemy_Normal,3
0,Enemy_Normal,1
2,Enemy_Normal,1
0,Enemy_Normal,2
0,Enemy_Normal,3
0,Enemy_Normal,5
0,Enemy_Normal,6
0,Enemy_Normal,7
2,Enemy_MetalHelmet,2
0,Enemy_MetalHelmet,5
0.3,Enemy_MetalHelmet,3
0.3,Enemy_Rabbit,6
0.3,Enemy_Rabbit,1
0,Enemy_Normal,5
2,Enemy_Rabbit,5
0.3,Enemy_Rabbit,4
0,Enemy_Rabbit,6
2,Enemy_MetalHelmet,2
0,Enemy_MetalHelmet,6
4,Enemy_Rabbit,1
0.2,Enemy_Rabbit,2
0.2,Enemy_Rabbit,3
0.2,Enemy_Rabbit,4
0.2,Enemy_Rabbit,5
0.2,Enemy_Rabbit,6
0.2,Enemy_Rabbit,7
2,Enemy_Normal,5
4,Enemy_MetalHelmet,7
0.2,Enemy_MetalHelmet,6
0.2,Enemy_MetalHelmet,5
0.2,Enemy_MetalHelmet,4
0.2,Enemy_MetalHelmet,3
0.2,Enemy_MetalHelmet,2
0.2,Enemy_MetalHelmet,1
2,Enemy_Normal,4
2,Enemy_Normal,4
3,Enemy_Normal,4
0.1,Enemy_Rabbit,3
0,Enemy_Rabbit,5
0.1,Enemy_Rabbit,2
0,Enemy_Rabbit,6
0.1,Enemy_Normal,1
0,Enemy_Normal,1
1,Enemy_Normal,6
1,Enemy_Normal,3
3,Enemy_Normal,6
0.5,Enemy_Rabbit,5
0,Enemy_Rabbit,7
3,Enemy_MetalHelmet,3
3,Enemy_MetalHelmet,7
4,Enemy_Rabbit,6
5,Boss,0
